,title,score,year
0,Fullmetal Alchemist: Brotherhood,9.25,2018
1,Gintama°,9.17,2018
2,Steins;Gate,9.14,2018
3,Gintama',9.12,2018
4,Hunter x Hunter (2011),9.11,2018
5,Gintama': Enchousen,9.07,2018
6,Owarimonogatari 2nd Season,9.03,2018
7,Gintama.,9.02,2018
8,Clannad: After Story,9.01,2018
9,Gintama,9.01,2018
10,Fullmetal Alchemist: Brotherhood,9.24,2019
11,Steins;Gate,9.14,2019
12,Gintama°,9.13,2019
13,Hunter x Hunter (2011),9.12,2019
14,Gintama',9.10,2019
15,3-gatsu no Lion 2nd Season,9.05,2019
16,Gintama': Enchousen,9.05,2019
17,Clannad: After Story,9.00,2019
18,Gintama,9.00,2019
19,Gintama.,9.00,2019
20,Fullmetal Alchemist: Brotherhood,9.23,2020
21,Hunter x Hunter (2011),9.11,2020
22,Steins;Gate,9.11,2020
23,Shingeki no Kyojin Season 3 Part 2,9.07,2020
24,Gintama',9.04,2020
25,Gintama°,9.04,2020
26,3-gatsu no Lion 2nd Season,9.02,2020
27,Clannad: After Story,8.97,2020
28,Gintama': Enchousen,8.97,2020
29,Gintama,8.96,2020
30,Fullmetal Alchemist: Brotherhood,9.21,2021
31,Shingeki no Kyojin: The Final Season,9.20,2021
32,Steins;Gate,9.12,2021
33,Shingeki no Kyojin Season 3 Part 2,9.10,2021
34,Gintama°,9.10,2021
35,Hunter x Hunter (2011),9.10,2021
36,Gintama',9.08,2021
37,Gintama': Enchousen,9.04,2021
38,3-gatsu no Lion 2nd Season,9.01,2021
39,Gintama.,8.99,2021
40,Fullmetal Alchemist: Brotherhood,9.15,2022
41,Shingeki no Kyojin: The Final Season Part 2,9.10,2022
42,Shingeki no Kyojin Season 3 Part 2,9.09,2022
43,Steins;Gate,9.09,2022
44,Gintama°,9.09,2022
45,Fruits Basket: The Final,9.06,2022
46,Gintama',9.06,2022
47,Hunter x Hunter (2011),9.05,2022
48,Gintama': Enchousen,9.04,2022
49,Gintama.,8.98,2022
50,Fullmetal Alchemist: Brotherhood,9.11,2023
51,Bleach: Sennen Kessen-hen,9.10,2023
52,Steins;Gate,9.08,2023
53,Gintama°,9.07,2023
54,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.07,2023
55,Shingeki no Kyojin Season 3 Part 2,9.06,2023
56,Gintama',9.04,2023
57,Hunter x Hunter (2011),9.04,2023
58,Gintama': Enchousen,9.03,2023
59,Fruits Basket: The Final,9.01,2023
